Bairro_IPP,GPP,RegAdmin,Dom,DomFav,Pop2000,PopF,PopM,RDom_Media,Rlg_CAR,Rlg_EMis_pc,Rlg_EPtc_pc,AEstu_Media,pct_favela,pct_evangelico
Abolicao,Central,Méier,4024,0,12346,6725,5621,527.31,8277,3.0198444840434147,7.901425562935363,7,0,10.921270046978778
Acari,Periferia Norte,Pavuna,6808,5711,24650,12681,11969,171.63,11983,5.713711967545638,16.003042596348884,4,0.8388660399529965,21.716754563894522
Agua Santa,Central,Méier,2903,203,7243,3303,3940,380.68,4753,3.6212895209167475,8.804362833080216,7,0.06992766104030314,12.425652353996963
Alto da Boa Vista,Centro-Norte,Tijuca,2596,917,8254,4353,3901,719.7,6227,4.045674824327598,8.062757450932882,7,0.3532357473035439,12.10843227526048
Anchieta,Periferia Norte,Anchieta,15299,2586,53808,28132,25676,318.98,27700,6.5853404698186155,19.98868198037466,6,0.16903065559840513,26.574022450193276
Andarai,Centro-Norte,Vila Isabel,13122,1349,38540,21473,17067,1036.49,25581,4.214296834457706,6.212947586922677,9,0.10280445054107605,10.427244421380383
Anil,Jacarepagua,Jacarepaguá,6345,557,21551,11279,10272,856.93,14283,4.490418078047422,7.373161338220964,8,0.08778565799842396,11.863579416268387
Bancarios,Leopoldina,Ilha do Governador,3539,1295,12126,6311,5815,495.92,7078,7.143245917862444,11.740392544944747,7,0.3659225769991523,18.88363846280719
Bangu,Oeste 1,Bangu,75040,7578,244518,125134,119384,309.55,126886,7.138304746480831,18.620584169672583,6,0.1009861407249467,25.758888916153413
Barra da Tijuca,Litoranea,Barra da Tijuca,30809,275,92233,48345,43888,2747.7,67345,3.2771242396972884,4.251775394923725,11,0.008925963192573598,7.5288996346210135
Barra de Guaratiba,Oeste 2,Guaratiba,1253,0,4380,2165,2215,338.52,2727,8.74406392694064,11.447945205479453,5,0,20.192009132420093
Barros Filho,Periferia Norte,Pavuna,4468,3785,15223,7826,7397,225.49,8376,6.162582933718715,18.450896669513234,5,0.8471351835273053,24.61347960323195
Benfica,Leopoldina,São Cristovão,5732,1834,19017,10070,8947,430.56,11924,5.184782037124677,15.449913235526111,6,0.31995812979762733,20.634695272650788
Bento Ribeiro,Central,Madureira,14054,324,46507,24917,21590,456.72,28402,7.11174661878857,10.985421549444169,7,0.023053934822826243,18.097168168232738
Bonsucesso,Leopoldina,Ramos,6683,1085,19298,10515,8783,568.22,13517,2.5553943413825264,12.167374857498187,7,0.1623522370193027,14.722769198880712
Botafogo,Litoranea,Botafogo,30509,1891,78259,43703,34556,1554.68,55859,3.048940058012497,5.079313561379521,10,0.061981710314989016,8.128253619392018
Bras de Pina,Periferia Norte,Penha,18067,1242,59389,31581,27808,444.03,38281,5.519389112461903,14.719139908063786,7,0.0687441191121935,20.23852902052569
Cachambi,Central,Méier,13636,308,41334,22743,18591,794.86,28118,4.4010257899066145,7.589587264721537,8,0.022587268993839837,11.990613054628152
Cacuia,Leopoldina,Ilha do Governador,2973,527,9952,5177,4775,487.76,6434,3.639971864951768,14.1850884244373,7,0.17726202489068282,17.825060289389068
Caju,Leopoldina,Portuária,5259,3759,17679,9181,8498,250.07,11402,2.8100005656428535,12.203970812828778,5,0.7147746719908727,15.013971378471632
Camorim,Litoranea,Barra da Tijuca,221,0,786,379,407,158.04,502,0,16.97201017811705,4,0,16.97201017811705
Campo dos Afonsos,Oeste 1,Realengo,392,0,1515,760,755,777.95,844,6.431023102310232,21.311551155115513,8,0,27.742574257425744
Campo Grande,Oeste 2,Campo Grande,85569,1947,297494,154914,142580,402.32,153328,9.77510134658178,18.64000618499869,6,0.022753567296567682,28.415107531580468
Cascadura,Central,Madureira,10313,1316,33526,18139,15387,482.86,18982,6.220992662411263,14.665930919286524,7,0.12760593425773295,20.886923581697786
Catete,Litoranea,Botafogo,8600,439,21724,12184,9540,1027.7,15834,1.55993371386485,7.477950653654945,8,0.05104651162790698,9.037884367519794
Catumbi,Centro-Norte,Rio Comprido,3876,2063,12914,6919,5995,398.09,8074,4.100588508595322,12.35403438129162,6,0.532249742002064,16.45462288988694
Cavalcanti,Central,Madureira,4687,0,15773,8333,7440,395.61,8381,4.952450389906803,13.40201610346795,6,0,18.35446649337475
Centro,Centro-Norte,Centro,16844,0,39135,21057,18078,734.78,28083,1.86630893062476,8.142889996167114,8,0,10.009198926791873
Cidade de Deus,Jacarepagua,Cidade de Deus,10866,517,38016,20166,17850,241.47,21723,2.887994528619529,15.951888678451182,5,0.04757960611080434,18.83988320707071
Cidade Nova,Centro-Norte,Rio Comprido,1652,0,5282,2743,2539,547.84,3665,3.7192351382052258,4.152783036728512,6,0,7.8720181749337375
Cidade Universitaria,Leopoldina,Ilha do Governador,546,0,1736,877,859,345.5,890,3.4902073732718897,26.205069124423964,6,0,29.695276497695854
Cocota,Leopoldina,Ilha do Governador,1540,0,4910,2685,2225,837.25,3413,2.084725050916497,9.39409368635438,8,0,11.478818737270876
Coelho Neto,Periferia Norte,Pavuna,9585,1527,32052,17039,15013,343.32,19461,9.774179458380132,15.421814551354052,6,0.1593114241001565,25.195994009734186
Colegio,Periferia Norte,Irajá,7666,3435,26488,14000,12488,301.19,13717,6.1759664753850805,18.39780277861673,5,0.44808244195147406,24.57376925400181
Complexo do Alemao,Leopoldina,Complexo do Alemão,18245,15520,65026,33259,31767,209.65,35740,3.635007535447359,20.332728447082708,4,0.8506440120580981,23.967735982530066
Copacabana,Litoranea,Copacabana,61807,2438,147021,85506,61515,1905.97,107485,2.116656804130022,4.380625896980703,10,0.039445370265503904,6.497282701110725
Cordovil,Periferia Norte,Penha,14197,1829,46533,24870,21663,335.28,30256,4.0918487954784775,15.962478241248146,6,0.128830034514334,20.054327036726622
Cosme Velho,Litoranea,Botafogo,2271,935,7229,3876,3353,2132.73,4700,6.03084797344031,6.253008714898326,9,0.41171290180537207,12.283856688338636
Cosmos,Oeste 2,Campo Grande,18586,2107,65961,33887,32074,235.68,29985,10.728293991904307,21.255256894225372,5,0.11336489831055634,31.983550886129677
Costa Barros,Periferia Norte,Pavuna,7207,3705,25922,13392,12530,199.25,12345,6.151222899467634,21.784468790988353,5,0.5140835299014846,27.935691690455986
Curicica,Jacarepagua,Jacarepaguá,7119,857,24839,12908,11931,396.1,14196,8.47662949394098,14.904907604976044,6,0.12038207613428853,23.381537098917022
Del Castilho,Leopoldina,Inhaúma,4356,844,14246,7733,6513,495.9,9847,3.4246104169591467,8.70167064439141,7,0.19375573921028466,12.126281061350557
Deodoro,Oeste 1,Realengo,3041,0,11593,6210,5383,332.55,6283,7.625377382903477,15.659535926852408,6,0,23.284913309755886
Encantado,Central,Méier,4908,132,15412,8222,7190,566.25,10357,2.8087853620555414,9.7887360498313,7,0.02689486552567237,12.597521411886841
Engenheiro Leal,Central,Madureira,1790,391,6196,3257,2939,342.86,3468,4.731762427372498,14.800677856681729,6,0.21843575418994413,19.532440284054225
Engenho da Rainha,Leopoldina,Inhaúma,8237,639,27311,14670,12641,409.61,17393,4.324814177437663,15.419464684559337,7,0.07757678766541216,19.744278861997
Engenho de Dentro,Central,Méier,15229,1129,46834,25419,21415,600.2,31882,3.5870307895973017,7.762779177520604,7,0.0741348742530698,11.349809967117906
Engenho Novo,Central,Méier,14223,3125,44472,24272,20200,695.37,29773,3.926672962763087,8.785640402950172,7,0.21971454686071856,12.712313365713259
Estacio,Centro-Norte,Rio Comprido,8750,2063,20632,9545,11087,320.32,13016,2.6732260566110897,8.094464908879411,6,0.23577142857142858,10.767690965490502
Flamengo,Litoranea,Botafogo,22343,332,53268,30805,22463,2017.7,38027,2.531275812870766,4.014530299617032,11,0.014859240030434588,6.545806112487798
Freguesia (Ilha do Governador),Leopoldina,Ilha do Governador,5536,1604,18371,9723,8648,618.51,11458,6.579826901094117,7.648249959174788,7,0.2897398843930636,14.228076860268907
Freguesia (Jacarepagua),Jacarepagua,Jacarepaguá,16780,1034,54010,28835,25175,866.79,34246,5.74684317718941,6.958544713941863,8,0.06162097735399285,12.705387891131274
Galeao,Leopoldina,Ilha do Governador,6337,3212,21633,11022,10611,300.36,12087,5.94263393888966,20.56224286968983,6,0.5068644468991637,26.50487680857949
Gamboa,Leopoldina,Portuária,3190,983,10490,5403,5087,291.28,7904,2.0094375595805527,8.975500476644424,5,0.30815047021943576,10.984938036224976
Gardenia Azul,Jacarepagua,Jacarepaguá,5527,2272,19268,9788,9480,299.47,11157,4.759964708324684,15.726593315341496,5,0.4110729147819794,20.48655802366618
Gavea,Litoranea,Lagoa,6580,666,17475,9538,7937,2465.39,12697,1.6567095851216023,6.032274678111587,10,0.10121580547112462,7.688984263233189
Gloria,Litoranea,Botafogo,4358,0,10098,5700,4398,1438.57,7004,3.140522875816994,4.277579718756189,9,0,7.418102594573183
Grajau,Centro-Norte,Vila Isabel,12946,1173,38296,21087,17209,1255.98,27339,2.7324263630666388,4.671375600584918,9,0.09060713733971883,7.403801963651556
Guadalupe,Periferia Norte,Anchieta,13959,1157,46325,24765,21560,387.42,26378,9.37886670264436,14.917344846195357,7,0.0828855935238914,24.296211548839718
Guaratiba,Oeste 2,Guaratiba,25440,1190,87132,43631,43501,236.88,45112,7.9911169260432455,18.581738052609833,5,0.046776729559748424,26.572854978653076
Higienopolis,Leopoldina,Inhaúma,5337,423,16587,8994,7593,690.72,11007,6.558328811720021,9.557062759992764,8,0.07925801011804384,16.115391571712784
Honorio Gurgel,Central,Madureira,6561,1809,22010,11626,10384,334.95,12641,9.820308950477056,14.374284416174469,6,0.2757201646090535,24.194593366651524
Humaita,Litoranea,Botafogo,5920,97,15186,8557,6629,2044.52,11001,1.4937442381140524,1.719280916633742,11,0.016385135135135134,3.213025154747794
Inhauma,Leopoldina,Inhaúma,12958,964,42722,22573,20149,375.81,26886,4.887903188052993,14.179579607696272,6,0.07439419663528322,19.067482795749264
Inhoaiba,Oeste 2,Campo Grande,16590,5575,59536,30467,29069,238.12,26858,9.512966944369792,24.03125839828004,5,0.336045810729355,33.54422534264983
Ipanema,Litoranea,Lagoa,18616,808,46808,26410,20398,2918.19,33338,2.145872500427277,4.643522474790633,11,0.04340352385045122,6.789394975217911
Iraja,Periferia Norte,Irajá,31442,1416,101859,54974,46885,517.27,66944,5.13700311214522,10.611629801981172,7,0.04503530309776732,15.748632914126393
Itanhanga,Litoranea,Barra da Tijuca,6449,4118,21813,10935,10878,732.19,15930,2.237152156970614,9.966808783752807,5,0.6385486121879361,12.203960940723421
Jacare,Leopoldina,Méier,2232,484,7392,3961,3431,442.5,4455,4.419778138528138,10.732413419913419,7,0.2168458781362007,15.152191558441558
Jacarepagua,Jacarepagua,Jacarepaguá,30727,18662,100822,50564,50258,372.75,63105,3.837833012636131,13.740998988316042,5,0.6073485859341947,17.578832000952172
Jacarezinho,Leopoldina,Jacarezinho,10689,9358,36459,19064,17395,201.16,16101,9.870649222414219,17.361364820757565,5,0.8754794648704275,27.232014043171784
Jardim America,Periferia Norte,Penha,7791,1179,25946,13728,12218,478.65,17208,6.835581592538349,14.540006166653821,7,0.15132845591066615,21.37558775919217
Jardim Botanico,Litoranea,Lagoa,6902,0,19560,10661,8899,2304.86,14138,1.699437627811861,3.6527607361963192,10,0,5.3521983640081805
Jardim Carioca,Leopoldina,Ilha do Governador,7535,1535,25202,13261,11941,484.82,15136,4.30672168875486,14.228989762717244,7,0.20371599203715993,18.535711451472103
Jardim Guanabara,Leopoldina,Ilha do Governador,9294,171,29886,15823,14063,1443.76,21814,4.152211737937495,5.116777086261127,10,0.018398967075532603,9.268988824198622
Jardim Sulacap,Oeste 1,Realengo,3374,43,11221,5863,5358,722.12,7260,4.425897870065056,11.777114339185458,8,0.012744516893894487,16.203012209250513
Lagoa,Litoranea,Lagoa,6820,0,18675,10140,8535,3375.38,13066,1.8325568942436414,2.24524765729585,11,0,4.077804551539492
Laranjeiras,Litoranea,Botafogo,17185,279,46381,26226,20155,1847.45,32302,2.958819344127984,2.5986718699467457,10,0.01623508874018039,5.55749121407473
Leblon,Litoranea,Lagoa,18004,0,46670,26183,20487,2825.12,33780,1.6995500321405614,2.5443968287979426,11,0,4.243946860938504
Leme,Litoranea,Copacabana,5684,692,14157,8077,6080,2105.1,9641,2.951825951825952,8.097619552165009,10,0.12174524982406756,11.049445503990961
Lins de Vasconcelos,Central,Méier,10933,2341,35171,19025,16146,703.73,22167,3.9816894600665322,8.739046373432657,7,0.2141223817799323,12.72073583349919
Madureira,Central,Madureira,15944,2366,51410,27850,23560,475.16,32097,5.372690138105426,11.7833300914219,7,0.14839438033115906,17.15602022952733
Magalhaes Bastos,Oeste 1,Realengo,7300,1072,24849,12913,11936,375.43,13161,5.386735884743852,15.23180007243752,6,0.14684931506849316,20.618535957181372
Mangueira,Leopoldina,São Cristovão,3738,2769,13594,7154,6440,234.24,7311,5.648521406502869,15.151831690451667,5,0.7407704654895666,20.800353096954538
Manguinhos,Leopoldina,Ramos,8942,6478,31059,16016,15043,214.17,16020,5.396664412891593,20.485527544351076,4,0.7244464325654216,25.882191957242668
Maracana,Centro-Norte,Vila Isabel,9708,72,27319,15086,12233,1306.14,19172,3.9247044181705033,4.217833742084264,10,0.007416563658838072,8.142538160254768
Mare,Leopoldina,Maré,33211,20776,113807,57543,56264,216.89,68583,3.144569314717021,17.26360417197536,4,0.6255758634187468,20.40817348669238
Marechal Hermes,Central,Madureira,14618,2816,49186,26076,23110,430.95,28703,6.5088643109827995,13.909771073069571,6,0.19263921193049666,20.418635384052372
Maria da Graca,Leopoldina,Inhaúma,2685,0,8189,4399,3790,744.57,5878,3.034558554158016,6.908535840761997,8,0,9.943094394920013
Meier,Central,Méier,17568,76,51344,28766,22578,1107.82,35852,4.203996572140854,5.549976628233094,9,0.004326047358834244,9.753973200373949
Monero,Leopoldina,Ilha do Governador,1933,0,6180,3348,2832,1006.46,4210,8.064563106796117,5.916019417475728,9,0,13.980582524271846
Olaria,Leopoldina,Ramos,19469,3193,62509,33635,28874,529.81,41965,3.973027883984706,11.664144363211697,7,0.16400431455133802,15.637172247196403
Oswaldo Cruz,Central,Madureira,11086,291,35901,19395,16506,518.02,22020,9.100610010863207,10.211553995710428,7,0.02624932347104456,19.312164006573635
Paciencia,Oeste 2,Santa Cruz,23084,5463,83561,43044,40517,234.7,37466,8.112480702720168,22.607747633465376,5,0.23665742505631607,30.720228336185542
Padre Miguel,Oeste 1,Bangu,18691,3635,64754,34032,30722,367.53,37440,6.217870710689687,17.390277048522094,6,0.19447862607672142,23.608147759211782
Paqueta,Centro-Norte,Ilha de Paquetá,1171,0,3421,1786,1635,532.84,2629,2.9061677871967255,4.8418591055247,6,0,7.748026892721425
Parada de Lucas,Periferia Norte,Penha,6953,3524,23269,12135,11134,251.25,13349,3.6814216339335597,18.183935708453305,5,0.5068315834891414,21.865357342386865
Parque Anchieta,Periferia Norte,Anchieta,7795,369,27092,14147,12945,389.52,13069,9.605676952605933,21.578104237413253,6,0.04733803720333547,31.183781190019186
Parque Columbia,Periferia Norte,Pavuna,2684,714,9194,4742,4452,279.72,5380,5.93017185120731,19.959756362845333,6,0.2660208643815201,25.88992821405264
Pavuna,Periferia Norte,Pavuna,26236,5133,90027,47108,42919,333.4,46773,8.184511313272685,16.154886867273152,6,0.19564720231742644,24.339398180545835
Pechincha,Jacarepagua,Jacarepaguá,10122,342,31615,17022,14593,849.98,20034,5.765617586588643,9.403574252728134,8,0.033787788974510964,15.169191839316778
Pedra de Guaratiba,Oeste 2,Guaratiba,2927,0,9693,4991,4702,445.19,6035,4.265242958836274,13.74682760755184,6,0,18.012070566388115
Penha,Periferia Norte,Penha,22347,8437,72692,38893,33799,443.94,44644,5.04338854344357,11.975485610521105,6,0.3775450843513671,17.018874153964674
Penha Circular,Periferia Norte,Penha,15814,1987,51113,27458,23655,509.83,35161,4.395926672275155,10.647760843620997,7,0.12564815985835337,15.043687515896153
Piedade,Central,Méier,13843,651,44111,23752,20359,511,29640,4.083788624152706,9.605109836548706,7,0.04702737845842664,13.688898460701413
Pilares,Central,Méier,9004,712,28956,15821,13135,433.65,18325,4.2225100151954695,10.329672606713633,7,0.0790759662372279,14.552182621909102
Portuguesa,Leopoldina,Ilha do Governador,7596,1586,24733,13262,11471,801.08,15513,4.216835806412485,11.301500020215908,8,0.20879410215903108,15.518335826628393
Praca da Bandeira,Centro-Norte,Tijuca,3329,0,9102,5044,4058,791.4,6712,6.369698967259943,4.120742693913424,9,0,10.490441661173367
Praca Seca,Jacarepagua,Jacarepaguá,18616,4702,59657,32009,27648,564.48,35070,5.1914611864492,11.067854568617266,7,0.25257842715943274,16.259315755066467
Praia da Bandeira,Leopoldina,Ilha do Governador,2159,0,6587,3575,3012,726.58,3517,7.953848489448916,8.471686655533626,8,0,16.42553514498254
Quintino Bocaiuva,Central,Madureira,10822,1318,34757,18683,16074,486.91,22002,5.774692867623788,8.23238484334091,7,0.1217889484383663,14.007077710964698
Ramos,Leopoldina,Ramos,12034,1005,37537,20226,17311,553.86,26767,2.6858832618483093,9.394357567200363,7,0.08351337876017949,12.080240829048671
Realengo,Oeste 1,Realengo,51628,5402,176277,92654,83623,366.05,99716,6.906011561349468,16.669168411080285,6,0.10463314480514449,23.57517997242975
Recreio dos Bandeirantes,Litoranea,Barra da Tijuca,11578,2266,37572,18896,18676,1345.44,24611,3.7451559672096244,8.972319812626422,8,0.19571601312834686,12.717475779836047
Riachuelo,Central,Méier,4437,0,13107,7253,5854,780.17,8963,3.1245899137865263,5.0504310673685815,8,0,8.175020981155107
Ribeira,Leopoldina,Ilha do Governador,1099,0,3323,1755,1568,935.78,2459,1.626241348179356,4.709298826361722,9,0,6.3355401745410775
Ricardo de Albuquerque,Periferia Norte,Anchieta,8138,364,27383,14417,12966,331.75,15265,7.864879669868167,16.38669977723405,6,0.04472843450479233,24.251579447102216
Rio Comprido,Centro-Norte,Rio Comprido,11156,2208,34833,19077,15756,711.57,23916,2.7267533660609193,10.71133695059283,7,0.1979204015776264,13.43809031665375
Rocha,Central,Méier,3145,0,9542,5252,4290,866.07,7018,2.850765038775938,5.984175225319639,9,0,8.834940264095577
Rocha Miranda,Central,Madureira,12555,429,41253,21973,19280,396.6,25069,7.95605168108986,12.460645286403414,6,0.034169653524492236,20.416696967493273
Rocinha,Litoranea,Rocinha,16999,16999,56338,28595,27743,253.92,38917,3.083336291668146,11.90871170435585,4,1,14.992047996023997
Sampaio,Central,Méier,3084,967,10508,5576,4932,466.38,7165,2.4507042253521125,9.685001903311765,6,0.3135538261997406,12.135706128663877
Santa Cruz,Oeste 2,Santa Cruz,52983,5020,191836,98923,92913,237.65,89739,6.176233866427575,21.754910444337874,5,0.0947473717985014,27.931144310765447
Santa Teresa,Centro-Norte,Santa Teresa,14013,2315,41145,21914,19231,720.32,28138,3.0825130635557167,9.009430064406368,7,0.1652037393848569,12.091943127962086
Santissimo,Oeste 2,Campo Grande,9713,632,34086,17369,16717,285.02,18481,7.170744587220559,18.032212638619963,6,0.06506743539586121,25.20295722584052
Santo Cristo,Leopoldina,Portuária,2969,66,9618,5068,4550,388.99,6417,2.128924932418382,8.671657309211895,6,0.02222970697204446,10.800582241630277
Sao Conrado,Litoranea,Lagoa,3513,580,11155,5918,5237,2632.46,7536,4.922635589421784,3.62689376961004,9,0.16510105323085683,8.549529359031824
Sao Cristovao,Leopoldina,São Cristovão,13209,3466,38334,19696,18638,420.95,25472,3.25867376219544,9.655605989461053,6,0.26239685063214474,12.914279751656494
Sao Francisco Xavier,Central,Méier,2591,323,7787,4118,3669,679.25,5385,4.110312058559137,10.346346474894053,7,0.12466229255113856,14.45665853345319
Saude,Leopoldina,Portuária,706,0,2186,1114,1072,587.02,1640,1.4043915827996343,7.945562671546202,7,0,9.349954254345837
Senador Camara,Oeste 1,Bangu,32090,9629,111231,57451,53780,289.35,56189,6.313626596901943,20.02320396292401,5,0.3000623247117482,26.336830559825955
Senador Vasconcelos,Oeste 2,Campo Grande,7829,250,27285,14182,13103,345.36,13243,7.69814916620854,19.64460326186549,6,0.03193255843658194,27.342752428074032
Sepetiba,Oeste 2,Santa Cruz,10862,234,35892,18587,17305,331.23,18563,6.454530257438982,17.95948957985067,5,0.021542993923770945,24.41401983728965
Tanque,Jacarepagua,Jacarepaguá,9985,847,32462,17018,15444,494.1,20379,4.686710615488879,12.287998274906043,7,0.08482724086129194,16.974708890394922
Taquara,Jacarepagua,Jacarepaguá,28310,2286,93741,49652,44089,592,57381,5.999391941626396,12.03744359458508,7,0.08074885199576122,18.036835536211477
Taua,Leopoldina,Ilha do Governador,9858,4472,33184,17357,15827,486.32,19237,6.816055930568949,11.943617405978783,6,0.45364171231487116,18.75967333654773
Tijuca,Centro-Norte,Tijuca,56980,6264,163636,91955,71681,1483.22,110191,3.769848932997629,6.195317656261457,9,0.10993330993330994,9.965166589259086
Todos os Santos,Central,Méier,7485,0,22927,12603,10324,905.92,15112,3.3285645745191257,6.172591267937365,9,0,9.501155842456491
Tomas Coelho,Leopoldina,Inhaúma,6591,813,21580,11550,10030,386.85,13938,4.565755329008341,13.68772011121409,6,0.12335002275830678,18.25347544022243
Turiacu,Central,Madureira,4824,576,16054,8493,7561,395.75,10043,7.779618786595241,11.101781487479755,7,0.11940298507462686,18.881400274074995
Urca,Litoranea,Botafogo,2310,134,6750,3680,3070,1891.55,4628,2.871703703703704,4.1558518518518515,11,0.05800865800865801,7.027555555555555
Vargem Grande,Litoranea,Barra da Tijuca,2696,821,9306,4591,4715,457.49,5293,4.0400816677412426,12.16032667096497,5,0.30452522255192876,16.20040833870621
Vargem Pequena,Litoranea,Barra da Tijuca,3225,1340,11536,5878,5658,235.51,6611,1.7916955617198336,18.74887309292649,4,0.41550387596899224,20.540568654646325
