MUNICÍPIO;BAIRRO;LATITUDE;LONGITUDE;NumLoclVot;NumSecoes;Aptos2008;T1Abst;T1Abst_pc;T1Comparecimento;T1Comp_pc;T1Vali;T1Vali_pcC;T1Bran;T1Bran_pcC;T1Nulo;T1Nulo_pcC;Gabeira;Gab_pcC;Eduardo;Edu_pcC;Crivella;Criv_pcC;Jandira;Jan_pcC;Molon;Mol_pcC;Chico;Chi_pcC;Solange;RSol_pcC;PauloR;RPau_pcC;1FilipePereira;2ViniciusCordeiro;3EduardoSerra;4AntonioCarlos;Outros_1_4;ROut_pcC;T2Abst;T2Abst_pc;T2Comp;T2Comp_pc;T2Vali;T2Vali_pcC;T2Bran;T2Bran_pcC;T2Nulo;T2Nulo_pcC;T2Gabe;T2Gabe_pcC;T2Gabe_pcV;T2Edua;T2Edua_pcC;T2Edua_pcV;Pop2010;PopMasculina;PopMasculina_pc;PopFeminina;PopFeminina_pc;Pop_Jovem;Pop_adulta;Pop70a_mais;Pop70pc;Renda_Media;Renda_Mediana;Taxa_Alfab;Branca;Preta;Parda;Renda_Media_Banca;Renda_Media_Preta;Renda_Media_Parda;Renda_Mediana_Branca;Renda_Mediana_Preta;Renda_Mediana_Parda;regioes_gpp
Rio de Janeiro;Centro;-22,90648;-43,17789;25;141;51206;13235;25,8465804788501;37971;74,1534195211499;32658;86,0077427510469;2171;5,71752126622949;3142;8,27473598272366;9975;26,2700481946749;9119;24,015696189197;4914;12,9414553211662;3683;9,699507518896;1604;4,22427642147955;995;2,62042084748887;1083;2,85217666113613;1025;2,69942851123226;133;81;31;15;260;0,684733085775987;14265;27,8580635081826;36941;72,1419364918174;33632;91,0424731328334;961;2,60144554830676;2348;6,3560813188598;19318;52,2941988576379;57,4393434823977;14314;38,7482742751956;42,5606565176023;41142;19289;46,88;21853;53,12;727;31302;4377;12,27;1451,12;1000;98,44;58,27;9,82;30,71;1561,89;1307,43;1289,39;1000;800;800;Centro-Norte
Rio de Janeiro;Gamboa;-22,89474;-43,19171;3;17;6623;1711;25,8342141023705;4912;74,1657858976295;4119;83,8558631921824;372;7,57328990228013;421;8,57084690553746;799;16,2662866449511;1312;26,7100977198697;909;18,5057003257329;430;8,75407166123778;235;4,78420195439739;80;1,62866449511401;206;4,19381107491857;110;2,23941368078176;22;10;5;1;38;0,773615635179153;1966;29,6844330363883;4657;70,3155669636117;4244;91,1316298045952;151;3,24243074940949;262;5,62593944599528;2106;45,2222460811681;49,6229971724788;2138;45,9093837234271;50,3770028275212;13108;6428;49,04;6680;50,96;431;8810;590;6,28;543,5;510;95,41;41,54;13,97;43,65;613,95;492,35;494,5;510;510;510;Leopoldina
Rio de Janeiro;Santo Cristo;-22,89843;-43,20294;2;13;5551;1171;21,0952981444785;4380;78,9047018555215;3733;85,2283105022831;293;6,68949771689498;354;8,08219178082192;1097;25,0456621004566;1075;24,5433789954338;551;12,5799086757991;522;11,9178082191781;165;3,76712328767123;71;1,62100456621005;139;3,17351598173516;85;1,94063926940639;14;12;2;0;28;0,639269406392694;1314;23,6714105566565;4237;76,3285894433435;3855;90,9841869247109;116;2,73778616945952;266;6,2780269058296;2145;50,625442530092;55,6420233463035;1710;40,3587443946188;44,3579766536965;12330;5847;47,42;6483;52,58;375;8492;743;8,05;633,61;510;97,17;45,17;18,71;35,57;730,74;572,63;543,55;510;510;510;Leopoldina
Rio de Janeiro;Caju;-22,87863;-43,21798;3;28;11963;2002;16,7349327091867;9961;83,2650672908133;8501;85,3428370645517;762;7,64983435398052;698;7,00732858146772;1109;11,1334203393234;3025;30,3684369039253;2259;22,6784459391627;741;7,43901214737476;356;3,57393835960245;111;1,11434594920189;668;6,70615400060235;128;1,2850115450256;39;52;9;4;104;1,0440718803333;2355;19,6856975674998;9608;80,3143024325002;8750;91,0699417152373;315;3,27851790174854;543;5,65154038301416;3275;34,086178184846;37,4285714285714;5475;56,9837635303913;62,5714285714286;20477;9772;47,72;10705;52,28;624;13464;950;6,59;478,35;510;93,84;43,44;8,84;46,79;510,35;502,73;446,42;510;510;510;Leopoldina
Rio de Janeiro;Catumbi;-22,91864;-43,19659;2;28;11884;2577;21,6846179737462;9307;78,3153820262538;8009;86,0535081121736;544;5,8450628559149;754;8,10142903191146;1441;15,4829698076716;2095;22,5099387557752;2106;22,6281293649941;774;8,31632104867304;369;3,9647577092511;221;2,37455678521543;749;8,04770602772107;195;2,09519716342538;42;12;4;1;59;0,633931449446653;2855;24,0238976775496;9029;75,9761023224504;8096;89,6666297485879;271;3,00143980507254;662;7,33193044633957;3759;41,6325174437922;46,4303359683795;4337;48,0341123047957;53,5696640316206;12556;5837;46,49;6719;53,51;389;8259;945;10,27;729,06;510;95,65;41,77;17,8;39,3;894,08;610,64;610,28;520;510;510;Centro-Norte
Rio de Janeiro;Rio Comprido;-22,92808;-43,20848;13;87;37436;7673;20,4963137087296;29763;79,5036862912704;25757;86,5403353156604;1668;5,60427376272553;2338;7,85539092161408;7910;26,5766219803111;7079;23,784564728018;4160;13,9770856432483;2781;9,34381614756577;1481;4,97597688405067;556;1,86809125424184;994;3,33971709841078;560;1,88153075966804;139;60;26;11;236;0,792930820145819;8356;22,320760765039;29080;77,679239234961;26376;90,7015130674003;791;2,72008253094911;1913;6,57840440165062;14507;49,8865199449794;55,0007582650895;11869;40,8149931224209;44,9992417349105;43764;20018;45,74;23746;54,26;1315;30166;3302;9,87;1077,94;570;96,74;53,52;13,44;31,64;1380,1;700,37;733,8;750;510;510;Centro-Norte
Rio de Janeiro;Cidade Nova;-22,90969;-43,20110;2;10;3289;857;26,0565521435087;2432;73,9434478564913;2070;85,1151315789474;155;6,37335526315789;207;8,51151315789474;583;23,9720394736842;561;23,0674342105263;348;14,3092105263158;239;9,82730263157895;128;5,26315789473684;48;1,97368421052632;82;3,37171052631579;54;2,22039473684211;15;7;5;0;27;1,11019736842105;931;28,3064761325631;2358;71,6935238674369;2162;91,6878710771841;57;2,41730279898219;139;5,89482612383376;1163;49,3214588634436;53,7927844588344;999;42,3664122137405;46,2072155411656;5466;2659;48,65;2807;51,35;148;3795;400;9,54;951,06;528;96,07;49,53;14,29;35,28;1126,34;800,71;761,23;600;510;510;Centro-Norte
Rio de Janeiro;Estácio;-22,91623;-43,20385;1;10;4834;947;19,5904013239553;3887;80,4095986760447;3293;84,7182917417031;295;7,58940056598919;299;7,69230769230769;452;11,6285052739902;1026;26,3956779006946;820;21,095960895292;289;7,43503987651145;160;4,1162850527399;67;1,72369436583483;315;8,10393619758168;81;2,08386930794958;75;6;2;0;83;2,13532287110882;1083;22,403806371535;3751;77,596193628465;3334;88,8829645427886;126;3,35910423886963;291;7,75793121834178;1444;38,4964009597441;43,3113377324535;1890;50,3865635830445;56,6886622675465;17189;8034;46,74;9155;53,26;497;11827;1141;8,80;861,43;510;96,54;48,11;14,41;36,15;1080,83;656,46;654,32;600;510;510;Centro-Norte
Rio de Janeiro;Flamengo;-22,93429;-43,17375;9;102;42742;10653;24,9239623789247;32089;75,0760376210753;29236;91,1091028078158;922;2,87325874910405;1931;6,01763844308018;16989;52,9433762348468;5951;18,5452958957898;1625;5,0640406369784;2010;6,26382872635483;969;3,01972638598897;670;2,08794290878494;577;1,79812396771479;318;0,990993798497928;66;29;28;4;127;0,395774252859235;10946;25,6094707781573;31796;74,3905292218427;29930;94,1313372751289;425;1,33664611900868;1441;4,53201660586237;22202;69,8263932570135;74,1797527564317;7728;24,3049440181155;25,8202472435683;50043;21157;42,28;28886;57,72;714;36027;8651;19,36;3739,08;2000;99,44;81,68;3,52;13,46;3934,88;2666,64;2858,1;2400;1000;1500;Litoranea
Rio de Janeiro;Glória;-22,91849;-43,17286;4;18;7160;1708;23,854748603352;5452;76,145251396648;4804;88,1144534115921;252;4,62215700660308;396;7,26338958180484;2122;38,9214966984593;1086;19,9192956713133;491;9,00586940572267;494;9,06089508437271;221;4,05355832721937;140;2,56786500366838;113;2,07263389581805;107;1,96258253851798;14;9;5;2;30;0,550256786500367;1840;25,6983240223464;5320;74,3016759776536;4924;92,5563909774436;113;2,12406015037594;283;5,31954887218045;3330;62,593984962406;67,6279447603574;1594;29,9624060150376;32,3720552396426;9661;4311;44,62;5350;55,38;152;7282;1335;15,49;2343,25;1500;99,01;71,19;6,36;21,17;2474,41;1980,33;2004,6;1500;1100;1200;Litoranea
