regiao,sexo,geracao,fx_etaria,decada,religiao,renda,ensino,pres1,pres2,atitude_pt,nota_pt,PT,PSDB,ano,esquerda_direita,peso,PL
Sudeste,feminino,geracaoX,16-29,1970s,sem religião,até 2 s.m,fundamental,PSDB,PSDB,neutro,5.0,0,1.0,2002,centro,0.7748693245904,
Sudeste,feminino,boomers,30-44,1960s,católica,2 a 5 s.m,médio,branco_nulo,PSDB,não gosta,0.0,0,1.0,2002,centro,1.3849373480176002,
Sudeste,feminino,geracaoX,30-44,1970s,católica,até 2 s.m,fundamental,PSDB,PSDB,gosta,7.0,0,1.0,2002,direita,0.3611608976144,
Sudeste,masculino,silenciosa,+60,1930s,outras,+ de 5 s.m,superior,PSB,PT,não gosta,0.0,1,0.0,2002,direita,2.1907181083528,
Sudeste,feminino,geracaoX,16-29,1970s,católica,2 a 5 s.m,fundamental,branco_nulo,PSDB,gosta,9.0,0,1.0,2002,direita,0.3611608976144,
Sudeste,feminino,geracaoX,16-29,1970s,evangélica,até 2 s.m,fundamental,PSDB,PSDB,gosta,8.0,0,1.0,2002,esquerda,0.3611608976144,
Sudeste,feminino,geracaoX,16-29,1980s,evangélica,2 a 5 s.m,fundamental,PSB,PSDB,não gosta,2.0,0,1.0,2002,centro,0.7732204866568001,
Sudeste,feminino,boomers,30-44,1960s,católica,2 a 5 s.m,fundamental,PT,PT,,,1,0.0,2002,,0.8938633124720001,
Sudeste,masculino,boomers,45-59,1950s,católica,2 a 5 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,esquerda,1.1514934850952,
Sudeste,masculino,millenials,16-29,1980s,evangélica,+ de 5 s.m,fundamental,,,neutro,6.0,0,0.0,2002,centro,0.2409415988096,
Sudeste,feminino,silenciosa,+60,1930s,outras,,superior,PSDB,PT,neutro,5.0,1,0.0,2002,direita,1.2773182292728005,
Sudeste,masculino,geracaoX,16-29,1970s,católica,+ de 5 s.m,médio,PSDB,PT,gosta,10.0,1,0.0,2002,direita,0.7528298240112,
Sudeste,feminino,millenials,16-29,1980s,outras,,médio,PSDB,PT,gosta,9.0,1,0.0,2002,centro,0.6172518865656,
Sudeste,feminino,geracaoX,16-29,1980s,evangélica,,médio,PSDB,PSDB,não gosta,0.0,0,1.0,2002,esquerda,0.6172518865656,
Sudeste,feminino,millenials,16-29,1980s,outras,,médio,,PT,gosta,9.0,1,0.0,2002,centro,0.6172518865656,
Sudeste,masculino,boomers,45-59,1950s,católica,+ de 5 s.m,médio,PT,PT,não gosta,0.0,1,0.0,2002,esquerda,1.6855479671784002,
Sudeste,feminino,silenciosa,+60,1930s,católica,até 2 s.m,fundamental,PT,PT,neutro,5.0,1,0.0,2002,não sabe,0.9958317157360002,
Sudeste,masculino,boomers,45-59,1940s,católica,2 a 5 s.m,fundamental,branco_nulo,branco_nulo,não gosta,0.0,0,0.0,2002,não sabe,1.1514934850952,
Sudeste,feminino,silenciosa,45-59,1940s,católica,até 2 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,esquerda,0.9958317157360002,
Sudeste,feminino,geracaoX,30-44,1960s,outras,+ de 5 s.m,médio,PSDB,PSDB,não gosta,0.0,0,1.0,2002,,0.7097980713512001,
Sudeste,feminino,silenciosa,+60,1930s,evangélica,até 2 s.m,fundamental,,,não conhece,,0,0.0,2002,não sabe,0.9958317157360002,
Sudeste,masculino,millenials,16-29,1980s,católica,2 a 5 s.m,médio,PT,PT,gosta,9.0,1,0.0,2002,esquerda,0.4167143621472,
Sudeste,feminino,silenciosa,+60,1930s,católica,até 2 s.m,fundamental,PSDB,PSDB,não gosta,0.0,0,1.0,2002,não sabe,0.9958317157360002,
Sudeste,masculino,silenciosa,45-59,1940s,católica,+ de 5 s.m,fundamental,PT,PT,neutro,5.0,1,0.0,2002,centro,0.833176217692,
Sudeste,feminino,geracaoX,30-44,1970s,católica,+ de 5 s.m,superior,PT,PT,gosta,10.0,1,0.0,2002,esquerda,4.636182180448,
Sudeste,masculino,boomers,45-59,1950s,católica,+ de 5 s.m,fundamental,PSDB,PSDB,não gosta,4.0,0,1.0,2002,direita,1.1514934850952,
Sudeste,feminino,boomers,45-59,1950s,católica,+ de 5 s.m,fundamental,,,não gosta,1.0,0,0.0,2002,direita,0.8938633124720001,
Sudeste,feminino,geracaoX,16-29,1970s,evangélica,até 2 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,direita,0.2570708352888,
Sudeste,masculino,geracaoX,30-44,1970s,outras,+ de 5 s.m,fundamental,PT,PT,gosta,8.0,1,0.0,2002,não sabe,0.2983189456936,
Sudeste,masculino,geracaoX,30-44,1960s,católica,2 a 5 s.m,fundamental,PSDB,PSDB,não conhece,,0,1.0,2002,,1.1514934850952,
Sudeste,feminino,geracaoX,30-44,1960s,outras,até 2 s.m,fundamental,PT,PT,gosta,8.0,1,0.0,2002,direita,0.8938633124720001,
Sudeste,masculino,geracaoX,16-29,1970s,católica,+ de 5 s.m,médio,PT,PT,gosta,10.0,1,0.0,2002,direita,1.1037284911432002,
Sudeste,feminino,boomers,45-59,1950s,católica,+ de 5 s.m,superior,,,gosta,8.0,0,0.0,2002,direita,0.3938720716528,
Sudeste,feminino,millenials,16-29,1980s,outras,,médio,PT,PT,gosta,8.0,1,0.0,2002,esquerda,0.6172518865656,
Sudeste,masculino,millenials,16-29,1980s,evangélica,2 a 5 s.m,fundamental,PT,PT,neutro,5.0,1,0.0,2002,direita,0.5731507533544,
Sudeste,feminino,silenciosa,45-59,1940s,evangélica,até 2 s.m,fundamental,PT,PT,não gosta,0.0,1,0.0,2002,não sabe,0.995831715736,
Sudeste,feminino,millenials,16-29,1980s,sem religião,até 2 s.m,fundamental,PPS,PSDB,não gosta,0.0,0,1.0,2002,centro,0.2570708352888,
Sudeste,feminino,millenials,16-29,1980s,sem religião,2 a 5 s.m,fundamental,,PSDB,não gosta,0.0,0,1.0,2002,direita,0.2570708352888,
Sudeste,feminino,geracaoX,30-44,1970s,evangélica,2 a 5 s.m,fundamental,PSDB,PSDB,gosta,7.0,0,1.0,2002,esquerda,0.7748693245904,
Sudeste,masculino,boomers,45-59,1950s,católica,até 2 s.m,fundamental,PSDB,PSDB,não gosta,4.0,0,1.0,2002,,0.833176217692,
Sudeste,feminino,boomers,30-44,1960s,sem religião,até 2 s.m,fundamental,,,gosta,10.0,0,0.0,2002,não sabe,0.6172518865656,
Sudeste,feminino,geracaoX,30-44,1970s,sem religião,até 2 s.m,fundamental,,,não conhece,,0,0.0,2002,não sabe,0.3611608976144,
Sudeste,masculino,boomers,30-44,1960s,católica,2 a 5 s.m,fundamental,PSDB,PSDB,neutro,6.0,0,1.0,2002,centro,1.1514934850952,
Sudeste,feminino,boomers,30-44,1960s,sem religião,+ de 5 s.m,fundamental,,,neutro,5.0,0,0.0,2002,não sabe,0.8938633124720001,
Sudeste,masculino,geracaoX,30-44,1970s,católica,2 a 5 s.m,fundamental,,,neutro,6.0,0,0.0,2002,não sabe,0.7528298240112,
Sudeste,masculino,geracaoX,30-44,1960s,católica,+ de 5 s.m,médio,PPS,PT,neutro,5.0,1,0.0,2002,direita,1.1037284911432002,
Sudeste,feminino,silenciosa,+60,1930s,católica,2 a 5 s.m,fundamental,PSDB,PSDB,não gosta,0.0,0,1.0,2002,não sabe,0.8938633124720001,
Sudeste,masculino,boomers,30-44,1960s,católica,+ de 5 s.m,médio,branco_nulo,PT,neutro,5.0,1,0.0,2002,esquerda,1.6855479671784002,
Sudeste,feminino,geracaoX,30-44,1960s,outras,2 a 5 s.m,médio,PT,PT,gosta,10.0,1,0.0,2002,não sabe,1.1916078307952,
Sudeste,masculino,silenciosa,+60,1930s,outras,2 a 5 s.m,fundamental,PT,PT,neutro,5.0,1,0.0,2002,não sabe,0.833176217692,
Sudeste,feminino,millenials,16-29,1980s,outras,até 2 s.m,médio,,,neutro,5.0,0,0.0,2002,não sabe,0.6172518865656,
Sudeste,masculino,geracaoX,16-29,1970s,sem religião,+ de 5 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,esquerda,0.7528298240112,
Sudeste,feminino,millenials,16-29,1980s,outras,2 a 5 s.m,fundamental,PSB,PSDB,gosta,10.0,0,1.0,2002,direita,0.2570708352888,
Sudeste,masculino,geracaoX,16-29,1970s,católica,2 a 5 s.m,médio,PT,PT,neutro,5.0,1,0.0,2002,centro,1.1243444983264002,
Sudeste,feminino,millenials,16-29,1980s,evangélica,+ de 5 s.m,superior,PT,PSDB,não gosta,1.0,0,1.0,2002,não sabe,1.2128867935600005,
Sudeste,feminino,geracaoX,16-29,1970s,católica,+ de 5 s.m,médio,,,neutro,6.0,0,0.0,2002,centro,1.4738297320864002,
Sudeste,masculino,geracaoX,30-44,1960s,evangélica,+ de 5 s.m,fundamental,PSDB,PSDB,neutro,5.0,0,1.0,2002,esquerda,1.1514934850952,
Sudeste,masculino,silenciosa,+60,1940s,católica,2 a 5 s.m,fundamental,PPS,branco_nulo,não gosta,1.0,0,0.0,2002,direita,1.1514934850952,
Sudeste,masculino,boomers,45-59,1950s,católica,até 2 s.m,fundamental,PT,PT,gosta,7.0,1,0.0,2002,centro,0.833176217692,
Sudeste,masculino,geracaoX,16-29,1970s,evangélica,2 a 5 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,direita,0.7528298240112,
Sudeste,feminino,silenciosa,+60,1940s,católica,+ de 5 s.m,médio,PPS,PT,neutro,5.0,1,0.0,2002,centro,1.0547844623784002,
Sudeste,feminino,boomers,45-59,1940s,católica,2 a 5 s.m,fundamental,PT,PT,gosta,9.0,1,0.0,2002,direita,0.8938633124720001,
Sudeste,masculino,silenciosa,+60,1930s,sem religião,+ de 5 s.m,fundamental,PPS,PT,não gosta,0.0,1,0.0,2002,centro,0.833176217692,
Sudeste,feminino,boomers,30-44,1960s,católica,+ de 5 s.m,superior,PT,PT,gosta,10.0,1,0.0,2002,centro,1.8559164856232,
Sudeste,masculino,geracaoX,16-29,1970s,evangélica,2 a 5 s.m,médio,PSB,PT,neutro,5.0,1,0.0,2002,esquerda,1.1243444983264002,
Sudeste,masculino,silenciosa,+60,1930s,católica,2 a 5 s.m,fundamental,PT,PT,gosta,8.0,1,0.0,2002,esquerda,0.833176217692,
Sudeste,feminino,millenials,16-29,1980s,evangélica,2 a 5 s.m,médio,,,gosta,10.0,0,0.0,2002,esquerda,1.2128867935600005,
Sudeste,feminino,boomers,45-59,1950s,outras,+ de 5 s.m,superior,PPS,PSDB,não gosta,0.0,0,1.0,2002,direita,1.8559164856232,
Sudeste,feminino,boomers,30-44,1960s,evangélica,2 a 5 s.m,médio,PSB,PSDB,não gosta,0.0,0,1.0,2002,esquerda,1.0547844623784002,
Sudeste,masculino,silenciosa,+60,1930s,católica,+ de 5 s.m,fundamental,PPS,branco_nulo,não gosta,0.0,0,0.0,2002,centro,0.833176217692,
Sudeste,feminino,geracaoX,16-29,1980s,outras,+ de 5 s.m,superior,PSDB,PSDB,não gosta,0.0,0,1.0,2002,direita,1.2128867935600005,
Sudeste,masculino,silenciosa,+60,1920s,católica,+ de 5 s.m,fundamental,PSDB,PSDB,gosta,8.0,0,1.0,2002,direita,0.833176217692,
Sudeste,feminino,silenciosa,+60,1930s,católica,até 2 s.m,fundamental,PSDB,PSDB,neutro,6.0,0,1.0,2002,direita,0.995831715736,
Sudeste,feminino,boomers,45-59,1950s,católica,+ de 5 s.m,superior,PT,PT,gosta,8.0,1,0.0,2002,centro,1.8559164856232,
Sudeste,masculino,geracaoX,30-44,1960s,católica,+ de 5 s.m,superior,PSDB,PSDB,neutro,5.0,0,1.0,2002,centro,1.1037284911432002,
Sudeste,feminino,geracaoX,16-29,1980s,católica,,superior,PSDB,PSDB,não gosta,3.0,0,1.0,2002,direita,6.179350627954401,
Sudeste,masculino,geracaoX,30-44,1970s,católica,,médio,PT,PT,gosta,8.0,1,0.0,2002,centro,1.1037284911432002,
Sudeste,masculino,silenciosa,+60,1920s,católica,até 2 s.m,fundamental,PSDB,PSDB,não gosta,0.0,0,1.0,2002,centro,0.833176217692,
Sudeste,feminino,boomers,30-44,1960s,católica,,superior,PSDB,PSDB,não gosta,0.0,0,1.0,2002,direita,1.0547844623784002,
Sudeste,feminino,geracaoX,16-29,1970s,católica,2 a 5 s.m,fundamental,PSDB,PT,neutro,5.0,1,0.0,2002,esquerda,0.3611608976144,
Sudeste,feminino,millenials,16-29,1980s,outras,,médio,branco_nulo,branco_nulo,neutro,5.0,0,0.0,2002,centro,0.6172518865656,
Sudeste,feminino,boomers,30-44,1960s,católica,,superior,PSDB,PSDB,não gosta,0.0,0,1.0,2002,centro,1.2773182292728005,
Sudeste,feminino,boomers,45-59,1940s,católica,2 a 5 s.m,fundamental,,,neutro,5.0,0,0.0,2002,,0.9958317157360002,
Sudeste,feminino,geracaoX,16-29,1970s,católica,até 2 s.m,fundamental,PT,PT,neutro,6.0,1,0.0,2002,centro,0.3611608976144,
Sudeste,feminino,boomers,45-59,1950s,católica,2 a 5 s.m,fundamental,,PSDB,gosta,10.0,0,1.0,2002,direita,0.8938633124720001,
Sudeste,masculino,boomers,45-59,1950s,católica,até 2 s.m,fundamental,PSDB,PSDB,não gosta,0.0,0,1.0,2002,esquerda,1.1514934850952,
Sudeste,feminino,geracaoX,30-44,1960s,católica,até 2 s.m,fundamental,branco_nulo,PT,gosta,8.0,1,0.0,2002,centro,0.7748693245904,
Sudeste,feminino,millenials,16-29,1980s,católica,até 2 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,direita,0.2570708352888,
Sudeste,masculino,millenials,16-29,1980s,sem religião,2 a 5 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,esquerda,0.5731507533544,
Sudeste,feminino,geracaoX,16-29,1980s,católica,até 2 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,direita,0.2570708352888,
Sudeste,feminino,geracaoX,16-29,1970s,católica,até 2 s.m,fundamental,PT,PT,neutro,5.0,1,0.0,2002,centro,0.3611608976144,
Sudeste,masculino,millenials,16-29,1980s,outras,2 a 5 s.m,fundamental,PT,,gosta,10.0,0,0.0,2002,centro,0.5731507533544,
Sudeste,feminino,geracaoX,30-44,1960s,católica,até 2 s.m,fundamental,PT,PT,não gosta,0.0,1,0.0,2002,centro,0.3611608976144,
Sudeste,masculino,millenials,16-29,1980s,evangélica,2 a 5 s.m,médio,,PT,neutro,5.0,1,0.0,2002,centro,1.1243444983264002,
Sudeste,masculino,geracaoX,16-29,1970s,católica,2 a 5 s.m,médio,PT,PT,neutro,6.0,1,0.0,2002,centro,1.1037284911432002,
Sudeste,feminino,geracaoX,30-44,1960s,evangélica,2 a 5 s.m,médio,PT,PT,gosta,8.0,1,0.0,2002,centro,1.4738297320864002,
Sudeste,feminino,boomers,45-59,1950s,católica,,fundamental,PSDB,PSDB,gosta,9.0,0,1.0,2002,direita,0.9958317157360002,
Sudeste,masculino,geracaoX,16-29,1970s,católica,+ de 5 s.m,superior,PT,PT,gosta,9.0,1,0.0,2002,centro,1.8770465600328,
Sudeste,masculino,boomers,45-59,1950s,outras,2 a 5 s.m,fundamental,PSB,PT,gosta,8.0,1,0.0,2002,esquerda,1.1514934850952,
Sudeste,feminino,millenials,16-29,1980s,outras,até 2 s.m,fundamental,,,gosta,8.0,0,0.0,2002,centro,0.2570708352888,
Sudeste,masculino,silenciosa,+60,1930s,católica,,médio,PT,PT,gosta,8.0,1,0.0,2002,esquerda,1.6855479671784002,
Sudeste,feminino,boomers,45-59,1950s,católica,2 a 5 s.m,fundamental,branco_nulo,PSDB,não gosta,0.0,0,1.0,2002,direita,0.8938633124720001,
Sudeste,feminino,boomers,30-44,1960s,católica,2 a 5 s.m,,branco_nulo,PT,neutro,5.0,1,0.0,2002,centro,0.8938633124720001,
Sudeste,feminino,boomers,45-59,1950s,católica,+ de 5 s.m,médio,PT,PT,gosta,10.0,1,0.0,2002,direita,1.0547844623784002,
Sudeste,masculino,geracaoX,16-29,1980s,católica,+ de 5 s.m,superior,PT,PT,gosta,8.0,1,0.0,2002,centro,1.1243444983264002,
Sudeste,feminino,millenials,16-29,1980s,católica,,médio,,,não gosta,0.0,0,0.0,2002,direita,1.2128867935600005,
Sudeste,feminino,silenciosa,+60,1930s,outras,+ de 5 s.m,fundamental,PPS,PSDB,não gosta,2.0,0,1.0,2002,direita,0.9958317157360002,
Sudeste,feminino,geracaoX,16-29,1970s,sem religião,,superior,PPS,PSDB,não gosta,0.0,0,1.0,2002,direita,1.4738297320864002,
Sudeste,masculino,millenials,16-29,1980s,outras,2 a 5 s.m,médio,PT,PT,neutro,6.0,1,0.0,2002,centro,0.4167143621472,
Sudeste,masculino,silenciosa,+60,1920s,católica,+ de 5 s.m,fundamental,PT,PT,gosta,9.0,1,0.0,2002,centro,0.833176217692,
Sudeste,masculino,boomers,30-44,1960s,evangélica,até 2 s.m,fundamental,PSDB,PSDB,não gosta,0.0,0,1.0,2002,não sabe,1.1514934850952,
Sudeste,masculino,boomers,30-44,1960s,sem religião,até 2 s.m,fundamental,,,gosta,8.0,0,0.0,2002,não sabe,0.833176217692,
Sudeste,feminino,geracaoX,16-29,1980s,católica,2 a 5 s.m,médio,PT,PT,gosta,10.0,1,0.0,2002,esquerda,0.6172518865656,
Sudeste,feminino,millenials,16-29,1980s,outras,até 2 s.m,médio,PSDB,PSDB,neutro,5.0,0,1.0,2002,direita,0.6172518865656,
Sudeste,masculino,boomers,45-59,1940s,católica,até 2 s.m,fundamental,,,,,0,0.0,2002,não sabe,0.833176217692,
Sudeste,masculino,geracaoX,16-29,1970s,sem religião,até 2 s.m,fundamental,,,,,0,0.0,2002,,0.2983189456936,
Sudeste,masculino,silenciosa,+60,1940s,católica,2 a 5 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,não sabe,0.833176217692,
Sudeste,feminino,geracaoX,16-29,1970s,católica,até 2 s.m,fundamental,,,não conhece,,0,0.0,2002,não sabe,0.3611608976144,
Sudeste,feminino,geracaoX,30-44,1960s,evangélica,2 a 5 s.m,médio,PSDB,PT,gosta,8.0,1,0.0,2002,centro,1.0547844623784002,
Sudeste,feminino,silenciosa,+60,1930s,católica,até 2 s.m,fundamental,PT,PT,gosta,10.0,1,0.0,2002,não sabe,0.9958317157360002,
Sudeste,feminino,silenciosa,+60,1930s,católica,até 2 s.m,médio,PSDB,PSDB,neutro,5.0,0,1.0,2002,direita,1.1916078307952,
Sudeste,feminino,geracaoX,16-29,1970s,evangélica,2 a 5 s.m,médio,,,não gosta,4.0,0,0.0,2002,não sabe,1.4738297320864002,
Sudeste,feminino,geracaoX,16-29,1970s,católica,até 2 s.m,fundamental,PSDB,PSDB,não gosta,0.0,0,1.0,2002,centro,0.3611608976144,
Sudeste,feminino,silenciosa,+60,1930s,católica,,fundamental,PSDB,PSDB,não gosta,0.0,0,1.0,2002,centro,0.9958317157360002,
Sudeste,masculino,geracaoX,30-44,1960s,católica,2 a 5 s.m,fundamental,,,gosta,9.0,0,0.0,2002,não sabe,0.7528298240112,
Sudeste,feminino,geracaoX,16-29,1970s,outras,+ de 5 s.m,superior,PT,PT,não gosta,2.0,1,0.0,2002,esquerda,1.2128867935600005,
